#{"t_start": 1772180824.033337, "env_id": "None"}
r,l,t
-286.6808,1001,2.488003
-389.06393,1001,2.488041
-325.314,1001,2.488048
-447.75818,1001,2.488052
-452.17963,1001,4.130749
-465.44168,1001,4.130785
-634.1723,1001,4.130793
-370.7666,1001,4.130798
-460.5272,1001,6.626139
-330.81573,1001,6.626177
-466.40665,1001,6.626183
-329.1272,1001,6.626188
-546.1651,1001,8.319662
-455.6636,1001,8.3197
-256.71625,1001,8.319707
-387.4877,1001,8.319712
-318.5254,1001,10.681772
-314.63226,1001,10.681812
-342.69598,1001,10.68182
-407.29623,1001,10.681826
-374.34457,1001,12.45011
-329.21915,1001,12.450148
-359.76163,1001,12.450154
-402.26074,1001,12.450158
-505.78735,1001,14.825274
-311.01804,1001,14.825309
-227.29312,1001,14.825315
-254.13776,1001,14.825319
-291.42038,1001,16.395083
-591.45184,1001,16.395115
-391.76547,1001,16.395121
-326.98178,1001,16.395125
-394.15775,1001,18.46267
-259.86792,1001,18.462704
-242.11526,1001,18.46271
-2256.8032,1001,18.462714
-306.68774,1001,23.03897
-282.29074,1001,23.039006
-345.9982,1001,23.039013
-176.18799,1001,23.039016
-405.43304,1001,25.126133
-276.49045,1001,25.126166
-158.29785,1001,25.126172
-400.3107,1001,25.126176
-316.13455,1001,26.696224
-203.26884,1001,26.696257
-358.9001,1001,26.696263
-289.8547,1001,26.696267
-355.87927,1001,28.792784
-253.07855,1001,28.792819
-330.03027,1001,28.792826
-337.06845,1001,28.79283
-273.60443,1001,30.348816
-258.16223,1001,30.348847
-264.35074,1001,30.348854
-356.04013,1001,30.348857
-183.27461,1001,32.433125
-354.06467,1001,32.433159
-375.05136,1001,32.433165
-359.82443,1001,32.433168
-333.8144,1001,33.984068
-345.00497,1001,33.984103
-154.48775,1001,33.984109
-1761.3558,1001,33.984113
-130.10963,1001,36.126099
-220.59694,1001,36.126132
-192.91257,1001,36.126137
-71.15012,1001,36.126142
-95.22762,1001,37.754805
11.282752,1001,37.754839
-62.889782,1001,37.754846
-256.54733,1001,37.75485
-291.8495,1001,39.909574
-297.2593,1001,39.909614
-309.97305,1001,39.90962
-195.00826,1001,39.909624
-203.92018,1001,44.693581
-207.02837,1001,44.693614
-190.52681,1001,44.69362
-183.80067,1001,44.693624
-173.71884,1001,46.849691
154.26868,1001,46.849725
-181.74057,1001,46.849731
-314.48422,1001,46.849736
-148.15065,1001,48.496204
-223.82054,1001,48.496235
-241.87483,1001,48.49624
-270.82764,1001,48.496244
-213.45042,1001,50.639937
-116.861145,1001,50.63997
-137.90942,1001,50.639977
18.052835,1001,50.639982
63.83697,1001,52.271568
2.2317526,1001,52.271605
133.09013,1001,52.271611
-156.95038,1001,52.271616
-246.99547,1001,54.394109
-181.95747,1001,54.394142
15.154427,1001,54.394148
-67.88312,1001,54.394152
-186.70107,1001,56.004849
-51.884148,1001,56.004884
-116.80576,1001,56.00489
-168.49358,1001,56.004894
-286.04617,1001,58.129299
-55.58566,1001,58.129336
-214.46127,1001,58.129344
29.95796,1001,58.129347
-318.89807,1001,59.746738
90.79462,1001,59.74677
-54.819042,1001,59.746777
6.1232033,1001,59.746781
-38.310036,1001,61.878348
-435.93665,1001,61.878384
172.80074,1001,61.87839
-128.80145,1001,61.878394
-118.88104,1001,66.559805
-43.52979,1001,66.559837
